NSA,PI
1589,12345
3098,23456
7153,34567
8407,45678
4875,3456
9342,56789
2758,67890
5021,4567
6714,78901
2358,89012
6193,5678
4817,90123
8734,101234
1265,6789
9041,112345
3627,123456
5589,7890
7892,134567
1396,145678
7531,8901
2568,156789
4209,167890
9658,9012
5810,178901
8472,189012
1948,123
6713,190123
3257,201234
8064,1234
5723,212345
2816,223456
7438,2345
5972,234567
4291,245678
9026,3456
1749,256789
6528,267890
3789,4567
5016,278901
7361,289012
2173,5678
5438,290123
9062,301234
4319,6789
8617,312345
2986,323456
7642,7890
1865,334567
3907,345678
6198,8901
