"NSA	"	PI
4887	"	0009400"
5170	"	0013606"
5220	"	0014902"
5368	"	0013987"
5409	"	0009577"
5410	"	0013931"
5419	"	0000473"
5419	"	0000475"
5419	"	0000519"
5419	"	0000520"
5494	"	0009931"
5498	"	0013311"
5501	"	0001758"
5506	"	0015724"
5516	"	0015090"
5523	"	0016365"
5534	"	0015074"
5536	"	0013296"
5540	"	0015614"
5541	"	0014203"
5543	"	0013207"
5545	"	0015605"
5546	"	0013918"
5547	"	0013231"
5551	"	0015591"
5555	"	0015540"
5557	"	0015534"
5558	"	0015535"
5565	"	0012674"
5581	"	0006700"
5582	"	0370860"
5594	"	0013531"
5598	"	0014901"
5606	"	0013712"
5607	"	0013373"
5612	"	0013813"
5620	"	0015547"
5621	"	0015556"
5622	"	0015567"
5626	"	0013208"
5627	"	0012823"
5628	"	0013212"
5629	"	0013204"
5630	"	0013211"
5640	"	0016123"
5641	"	0015646"
5642	"	0015611"
5643	"	0621720"
5649	"	0006328"
5650	"	0013238"
5652	"	0013230"
5660	"	0016108"
5679	"	0016627"
5680	"	0016628"
5713	"	0000520"
5727	"	0007047"
5730	"	0014203"
5741	"	0010428"
5748	"	0016319"
5749	"	0621720"
5775	"	0013610"
5789	"	0015553"
5790	"	0731048"
5792	"	0016357"
5793	"	0014899"
5797	"	0012587"
5813	"	0016363"
5835	"	0013297"
5838	"	0015592"
5882	"	0000519"
5883	"	0008042"
5885	"	0016505"
5896	"	0016504"
5914	"	0013948"
5922	"	0013817"
5924	"	0013606"
5932	"	0015553"
5952	"	0016188"
5958	"	0015382"
5959	"	0013579"
5960	"	0015591"
5978	"	0013173"
5995	"	0016350"
5996	"	0132610"
6006	"	0631550"
6010	"	0013120"
6014	"	0013173"
6015	"	0016528"
6016	"	0016529"
6018	"	0016512"
6019	"	0016530"
6020	"	0016533"
6023	0016129
6023	0016130
6028	"	0013531"
6035	"	0012952"
6041	"	0016591"
6044	"	0015547"
6051	"	0013691"
6063	"	0016507"
6067	"	0013693"
6074	"	0016129"
6075	"	0016130"
6076	"	0017182"
6078	"	0016605"
6083	"	0015623"
6095	"	0015567"
6101	"	0016592"
6104	"	0122090"
6105	"	0016506"
6106	"	0015632"
6110	"	0122060"
6112	"	0311005"
6118	"	0016580"
6120	"	0016599"
6121	"	0016508"
6122	"	0016520"
6123	"	0016521"
6124	"	0016522"
6125	"	0016527"
6126	"	0013373"
6128	"	0010571"
6129	"	0016504"
6130	"	0016505"
6140	"	0013691"
6147	"	0016598"
6149	"	0016597"
6150	"	0016596"
6162	"	0322470"
6163	"	0016610"
6174	"	0015556"
6180	"	0013693"
6181	"	0018124"
6183	"	0016319"
6193	"	0013610"
6194	"	0013719"
6196	"	0132610"
6214	"	0015983"
6216	"	0006924"
6218	"	0016800"
6228	"	0015090"
6231	"	0007836"
6233	"	0015553"
6234	"	0015983"
6258	"	0015646"
6265	"	0018124"
6277	"	0012759"
6280	"	0013539"
6282	0016580
6282	0016581
6287	"	0007836"
6290	"	0016188"
6294	"	0015552"
6300	"	0013238"
6305	"	0010428"
6306	"	0015592"
6312	"	0017237"
6313	"	0017238"
6332	"	0017926"
6333	"	0016927"
6340	"	0000519"
