NSA,PI
6376,0000411
6375,0000519
6374,0015478
6373,0000784
6372,0000784
6371,0000820
6370,0000821
6369,0008666
6368,0017135
6367,0017135
6366,0001812
6365,0002525
6364,0002669
6363,0002862
6362,0003681
6361,0003682
6360,0014132
6359,0014133
6358,0002868
6357,0002981
6356,0003626
6355,0004634
6354,0005317
6353,0005318
6352,0005533
6351,0006253
6350,0006446
6349,0006915
6349B,0006915
6348,0006924
6347,0006924
6346,0006934
6345,0006935
6344,0006999
6343,0007055
6342,0007233
6341,0007494
6340,0007535
6340B,0007535
6339,0007692
6338,0621720
6337,0007836
6336,0007838
6335,0007841
6334,0007842
6333,0007856
6332,0007952
6331,0008016
6330,0008017
6329,0008018
6328,0008019
6327,0008042
6326,0008288
6325,0008357
6324,0008358
6323,0008359
6322,0010236
6321,0008384
6320,0008601
6319,0008680
6318,0008759
6317,0009156
6316,0009157
6315,0009395
6314,0009397
6314C,0009397
6314B,0009397
6313,0009928
6312,0009932
6311,0009966
6310,0009989
6309,0009990
6308,0009992
6307,0010212
6306,0010298
6305,0010322
6304,0010352
6304B,0010352
6303,0010474
6302,0010555
6301,0010560
6300,0015624
6300B,0010821
6299,0010874
6298,0010874
6297,0011434
6296,0011833
6295,0012596
6294,0012597
6293,0012637
6292,0311400
6291,0012757
6290,0012757
6289,0012758
6288,0012758
6287,0012759
6286,0012788
6285,0012808
6284,0012823
6283,0012865
6282,0012866
6281,0012867
6280,0012868
6279,0012877
6278,0012884
6277,0012904
6276,0013056
6275,0013064
6274,0013095
6273,0013104
6272,0013120
6271,0013161
6270,0013171
6269,0013172
6268,0013173
6267,0013195
6266,0013197
6265,0013204
6264,0018210
6263,0013212
6262,0013238
6261,0013257
6260,0013258
6259,0013259
6258,0013260
6257,0013297
6256,0013301
6255,0013302
6254,0013311
6253,0013372
6252,0013375
6251,0013379
6250,0013390
6249,0013525
6248,0013526
6247,0013531
6246,0013539
6245,0013546
6244,0013546
6243,0013552
6242,0013563
6241,0013571
6240,0013572
6239,0013576
6238,0013577
6237,0013578
6236,0013579
6235,0013590
6234,0013591
